Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
BACKPROP 0 7.23758 20.3149 15.8775 0.645148 20.9086 17.8798
BFS 0 0 1.55863 1.60105 29.7248 12.1334 8.0905
BLACKSCHOLES_10M 0 70.7084 21.123 16.2273 58.2911 30.3424 27.6207
BODYTRACK 0 19.7213 0 0 33.929 15.4696 11.0573
FACESIM 0 30.5232 9.95955 10.1059 15.382 11.4551 11.2862
FERRET 0 17.8758 0 19.2604 21.0114 10.5725 8.0633
HEARTWALL 0 54.5375 17.0046 10.8978 55.467 21.2871 18.4071
HOTSPOT 0 21.5274 19.596 19.2484 36.3174 14.3839 9.66049
JACOBI 0 28.603 27.2115 19.3445 16.1594 14.7908 14.0651
KMEANS 0 12.7114 0 27.7277 24.9936 10.0931 8.34013
KMEANSNF 0 57.6004 9.85944 6.13682 62.6097 23.8025 21.6105
LAVAMD 0 63.0392 46.9985 22.2543 22.6367 36.3745 35.8448
LEUKOCYTE 0 25.3384 9.52356 25.3289 33.5115 14.6507 14.3409
LUD 0 43.9301 7.05169 2.68794 38.6927 23.426 18.8006
NW 0 25.0102 11.4356 7.24919 33.5933 13.3718 10.6727
SHA 0 14.3147 0 0 32.6067 10.1443 10.2322
SRAD 0 32.7748 22.8956 21.9894 31.5493 21.2046 19.0272
STREAM 0 0.0918522 70.419 0.0465495 29.6246 13.1162 14.3614
STREAM_threads 0 31.0206 40.6532 0.133646 25.1575 16.6879 18.0648
X264_ducks 0 28.1254 0 0 25.9578 12.8286 9.51719
X264_native 0 20.244 0 0 21.2348 9.13321 8.46275
AVERAGE 0 27.4971 15.2548 10.2781 29.5043 16.1899 14.3366
