Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
BACKPROP 0 18.684 0 27.8798 39.1243 23.5531 37.0537 37.0537 21.4556 2.02966 4.1566 3.98348
BFS 0 5.22157 0 18.042 28.1308 18.042 27.5112 27.5112 18.1508 0 17.3607 2.53954
BLACKSCHOLES_10M 0 0 0 0 8.35436 0 0 0 0 1.3707 1.63104 0
BODYTRACK 0 0 0 0 23.4784 0 0 0 0 17.0536 8.23508 8.05719
FACESIM 0 0 9.06964 0 41.2748 0 4.55551 4.55074 0.122541 34.2474 22.4458 0
FERRET 0 0 24.766 0 24.766 5.93156 3.61274 3.62332 0 18.8409 10.5294 0
HEARTWALL 0 0 12.5269 0 24.6368 4.35405 2.04843 2.06743 0 18.7889 14.5331 0.399608
HOTSPOT 0 0.761907 0.778044 7.61978 21.0317 7.69414 20.0579 20.0601 17.1282 0 8.75001 2.06473
JACOBI 0 0 0 42.6451 10.9729 10.9736 49.223 50.0448 14.7623 7.7558 1.31585 4.16368
KMEANS 0 0 17.2959 0 17.2959 0 0 0 0 10.3854 0 0
KMEANSNF 0 0 53.6515 0 53.6515 37.3995 30.491 31.9495 2.51778 47.2096 43.1208 0
LAVAMD 0 36.3087 22.1806 36.2547 61.9718 36.2542 47.048 47.0546 21.7292 52.8682 58.8408 26.3848
LEUKOCYTE 0 3.54433 45.1763 55.5652 69.2516 55.5672 61.4967 61.4598 24.2013 55.4197 35.1365 8.87152
LUD 0 0 88.7485 0 88.7485 88.7485 7.28965 90.4798 0 0 0 8.53122
NW 0 20.0619 4.40126 12.4768 55.0846 12.4768 26.1328 26.1322 14.8885 0.740887 51.1693 2.0041
SHA 0 6.20233 14.763 0 34.8273 6.01876 5.33238 5.32883 0 30.0952 21.638 21.5584
SRAD 0 10.025 4.96334 17.7527 68.729 68.729 28.45 48.0687 13.1924 22.6306 27.0661 29.6515
STREAM 0 0 0 45.2686 17.7497 17.7525 49.6209 50.4316 20.8791 20.3913 9.63667 8.25239
STREAM_threads 0 1.42796 32.1858 65.6651 100 26.867 73.7585 73.7593 20.3308 12.7602 100 12.7563
X264_ducks 0 0 7.27697 0 7.27684 0 0 0 0 0 0 0
X264_native 0 0 22.3587 0 22.3586 5.44099 2.65765 2.67226 0 16.287 0 0
AVERAGE 0 4.86846 17.1496 15.6748 38.9864 20.2763 22.6829 27.7261 9.01707 17.5655 20.7412 6.62945
