Benchmark OPTIMAL ONLINE OFFLINE LEO POET CALOREE-NP CALOREE
BACKPROP 0 14.7713 22.7267 9.37037 7.14693 10.0439 3.37196
BFS 0 10.4791 30.395 36.9178 8.76045 9.89046 3.1048
BLACKSCHOLES_10M 0 22.576 30.4577 26.5049 5.86539 15.3119 9.77942
BODYTRACK 0 19.9281 30.8431 27.1796 6.12214 10.4283 4.49196
FACESIM 0 18.1625 23.5777 23.274 5.26432 11.1076 3.63149
FERRET 0 14.6484 27.7853 23.8987 8.6245 11.746 5.20175
HEARTWALL 0 17.2863 28.3339 24.1857 7.21568 11.7079 3.88789
HOTSPOT 0 9.99049 32.0543 32.5756 9.24029 10.0716 2.91533
JACOBI 0 37.3794 15.7635 25.0935 6.98318 9.71518 2.48912
KMEANS 0 14.6484 30.0102 23.1547 6.05948 13.7591 6.9715
KMEANSNF 0 26.8012 17.9924 27.2683 14.6322 10.6821 3.61121
LAVAMD 0 36.7387 26.5447 31.1567 5.30671 9.50283 3.23556
LEUKOCYTE 0 20.2091 20.2091 19.6849 6.22614 10.4144 3.64932
LUD 0 83.9549 23.7983 83.9778 86.178 12.8332 7.36987
NW 0 9.60167 25.9204 25.9928 8.45901 10.7969 3.02905
SHA 0 21.2142 34.2581 30.5307 7.79913 10.8877 5.18149
SRAD 0 26.2869 20.8517 15.0001 15.7792 12.4777 6.80947
STREAM 0 12.663 15.541 25.9473 6.83618 11.2649 3.32446
STREAM_threads 0 59.4909 20.9489 18.217 23.3256 10.4744 3.12357
X264_ducks 0 15.3447 24.4916 20.2364 11.1826 15.8373 7.0948
X264_native 0 14.6484 26.7149 22.8127 9.38236 10.9897 3.72515
AVERAGE 0 23.0374 24.0554 26.0445 12.1086 10.9065 4.3636
