Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
BACKPROP 6.15385 3.84615 100 100 0 0 8.20513 5.12821 41.0256 2.5641 6.66667 4.87179
BFS 6.41026 78.2051 0 100 0 13.0769 24.1026 24.1026 41.7949 0 7.4359 7.4359
BLACKSCHOLES_10M 6.66667 3.07692 76.9231 100 33.8462 76.9231 11.0256 11.0256 45.3846 1.79487 2.5641 2.82051
BODYTRACK 7.4359 79.4872 76.9231 100 22.5641 76.9231 14.6154 14.6154 44.359 3.84615 4.10256 3.58974
FACESIM 4.10256 77.4359 76.9231 100 23.5897 76.9231 3.07692 2.82051 44.1026 2.05128 3.07692 1.79487
FERRET 2.82051 77.1795 71.2821 100 42.8205 76.9231 3.58974 3.84615 42.8205 2.05128 2.30769 6.92308
HEARTWALL 6.15385 77.6923 76.9231 100 31.7949 76.9231 8.46154 8.46154 43.8462 2.05128 3.84615 2.5641
HOTSPOT 4.10256 6.66667 0 100 25.1282 100 48.4615 48.4615 38.9744 0 6.41026 7.17949
JACOBI 5.38462 78.7179 100 100 76.4103 76.4103 13.0769 17.6923 38.4615 30.5128 6.15385 2.82051
KMEANS 3.58974 77.9487 63.8462 100 49.2308 76.9231 9.74359 9.48718 44.1026 2.05128 2.30769 19.7436
KMEANSNF 7.69231 78.9744 76.9231 100 76.9231 49.2308 18.4615 68.2051 44.1026 83.0769 5.38462 3.84615
LAVAMD 5.12821 6.15385 99.7436 100 0 77.6923 5.38462 5.38462 42.0513 12.8205 5.38462 5.89744
LEUKOCYTE 5.12821 77.9487 76.9231 100 76.9231 76.9231 3.84615 3.84615 40.5128 2.82051 6.41026 4.10256
LUD 4.35897 78.2051 100 100 100 24.359 6.92308 100 41.7949 100 97.6923 30.2564
NW 8.97436 77.4359 0.25641 100 0 0 5.38462 5.38462 41.0256 0 3.07692 3.58974
SHA 7.69231 77.4359 0 100 23.5897 80.7692 25.1282 25.3846 39.4872 1.02564 4.35897 4.10256
SRAD 4.61538 78.7179 15.641 100 0 0 4.35897 4.87179 42.0513 2.05128 3.84615 4.61538
STREAM 4.87179 6.66667 0 100 76.6667 0 10 8.46154 42.5641 0.512821 9.48718 10.2564
STREAM_threads 4.35897 4.35897 100 100 100 0 14.359 22.0513 43.0769 100 100 7.4359
X264_ducks 5.64103 78.7179 31.5385 100 58.7179 76.9231 9.48718 9.48718 49.7436 1.79487 5.12821 3.33333
X264_native 5.38462 77.9487 62.5641 100 43.5897 76.9231 7.69231 7.4359 42.5641 1.79487 4.10256 16.1538
AVERAGE 5.55556 57.2772 57.4481 100 41.0379 53.0403 12.1612 19.3407 42.5641 16.801 13.7973 7.30158
