0	Benchmark	OPTIMAL	RACE	ONLINE	OFFLINE	NUCLEAR	HBM	CONTROL	ADAPT-CONTROL	CALOREE-NP	ONLINE-ADAPT	NUCLEAR-ADAPT	HBM-ADAPT
1	BODYTRACK	0	8.99579	20.199	20.3281	20.1989	20.199	30.9956	0	19.2961	0	0.574359	0.827438
2	FACESIM	0	48.7257	17.6133	11.5479	57.9322	14.987	12.1261	3.33983	6.05242	3.27945	1.99799	1.91681
3	FERRET	0	36.516	12.4096	0	40.2751	4.05972	9.56334	0.167448	0.220551	0.106223	1.70406	2.21727
4	HEARTWALL	0	14.9306	26.3432	6.75156	26.3433	26.3432	43.8979	0.948934	7.82682	0.00725255	0.646256	0.566075
5	KMEANSNF	0	5.72302	57.1923	57.2487	57.1923	57.1923	65.1942	42.0841	42.1807	42.6791	57.1931	20.1025
6	LEUKOCYTE	0	63.7176	34.2378	40.3181	64.4025	40.0341	10.9866	36.5667	23.2811	35.4611	18.9497	3.4923
7	LUD	0	42.4445	18.4754	1.29744	24.8751	24.8201	5.13051	93.7565	13.9165	18.131	13.9018	3.23502
8	RADAR	0	53.6304	14.9091	7.96693	21.8526	14.9885	24.5026	1.27151	7.96559	1.37052	2.92034	3.74379
9	SHA	0	6.37678	18.851	19.0054	18.851	18.851	31.101	0	17.5226	0.706803	0.111116	0.420833
10	SRAD	0	35	32.607	6.58215	20.5162	20.4481	8.6194	12.1058	24.3906	24.5515	5.20733	6.09613
11	STREAM_threads	0	28.326	13.6324	66.6212	16.6379	6.64535	62.3167	66.559	5.48424	10.757	8.10989	9.3845
12	X264_ducks	0	29.4473	20.9587	0	38.1285	6.52148	4.88998	0	0	0.203028	1.90928	1.53592
13	X264_native	0	44	4.18065	0	21.1635	0	14.9328	0	0.0868622	0	2.49373	2.91236
14	AVERAGE	0	32.14105308	22.43149615	18.28211385	32.95146923	19.62229615	24.94282538	19.75383246	12.94031409	10.55792127	8.901457769	4.342380462


