0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 BACKPROP 0.0 2.2 0.0 31.16 13.3 7.9 45.6 45.84 15.97 8.07 10.96 6.29
2 BFS 0.0 18.84 3.92 13.66 37.55 13.66 35.08 35.08 9.64 4.36 5.66 4.54
3 BLACKSCHOLES_10M 0.0 12.31 16.89 5.99 47.9 12.24 28.46 28.46 14.11 20.87 36.82 20.33
4 BODYTRACK 0.0 0.0 11.84 0.0 44.82 0.0 16.75 16.76 10.97 2.53 7.25 2.59
5 FACESIM 0.0 0.0 1.02 0.0 53.25 1.1 22.64 22.63 9.32 3.79 36.87 2.81
6 FERRET 0.0 0.0 15.36 0.0 32.31 0.0 12.19 12.19 2.33 1.5 3.83 1.5
7 HEARTWALL 0.0 0.0 2.48 0.0 36.06 0.0 15.92 15.93 0.0 2.46 9.56 1.71
8 HOTSPOT 0.0 20.55 1.81 12.33 32.1 12.31 29.79 29.79 12.09 3.31 8.86 3.61
9 JACOBI 0.0 13.74 28.44 44.39 14.96 14.96 55.92 56.34 22.06 11.87 10.99 11.26
10 KMEANS 0.0 0.0 0.0 0.0 26.38 0.0 0.0 0.0 0.75 0.0 0.0 0.0
11 KMEANSNF 0.0 3.06 54.39 2.75 62.04 10.84 43.0 43.07 9.78 6.19 17.51 5.57
12 LAVAMD 0.0 1.92 79.42 81.15 90.8 81.15 86.95 86.95 70.53 47.29 87.62 61.92
13 LEUKOCYTE 0.0 1.18 36.86 48.81 71.06 48.81 63.3 63.37 19.42 11.13 15.62 10.15
14 LUD 0.0 5.16 91.04 0.0 91.04 91.04 25.22 79.72 5.95 2.94 0.0 3.95
15 NW 0.0 1.49 1.45 16.79 64.49 16.79 40.35 40.35 16.14 4.86 11.91 5.07
16 SHA 0.0 9.25 16.49 0.0 46.6 4.19 21.1 21.11 7.33 2.53 5.77 1.91
17 SRAD 0.0 3.46 3.39 12.96 69.77 20.56 29.49 49.76 8.8 2.72 0.0 12.54
18 STREAM 0.0 0.02 0.54 39.62 19.34 19.34 49.11 49.89 15.51 13.85 11.77 11.08
19 STREAM_threads 0.0 0.17 33.96 57.65 100.0 28.94 69.4 69.97 17.99 17.8 100.0 15.15
20 X264_ducks 0.0 0.0 24.63 0.0 34.02 0.23 20.59 20.59 11.15 2.27 20.88 2.38
21 X264_native 0.0 0.0 8.06 0.0 31.61 0.0 13.33 13.33 1.77 1.83 20.79 1.68
22 AVERAGE 0.0 4.45 20.57 17.49 48.54 18.29 34.49 38.15 13.41 8.2 20.13 8.86
