0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 BACKPROP 0.26 0.0 100.0 100.0 0.0 0.0 24.1 24.1 41.03 8.21 6.67 5.38
2 BFS 0.51 76.92 0.0 100.0 0.0 99.49 76.41 76.41 42.56 4.87 6.92 7.44
3 BLACKSCHOLES_10M 0.0 76.92 76.92 100.0 75.64 76.92 59.74 59.74 56.41 2.82 3.33 2.56
4 BODYTRACK 0.51 76.92 76.92 100.0 39.49 76.92 72.31 72.31 41.79 2.05 2.56 3.08
5 FACESIM 0.51 76.92 76.92 100.0 40.0 76.92 45.64 45.64 46.15 3.08 3.08 3.33
6 FERRET 0.51 76.92 43.59 100.0 76.92 76.92 27.44 27.44 46.67 2.56 3.08 2.56
7 HEARTWALL 0.51 76.92 76.92 100.0 69.74 76.92 16.41 16.41 45.9 2.31 2.31 1.79
8 HOTSPOT 0.51 76.92 0.0 100.0 0.26 100.0 76.92 77.18 40.77 4.36 6.41 6.92
9 JACOBI 0.51 76.92 100.0 100.0 76.92 76.92 5.9 2.82 42.05 6.41 6.92 3.59
10 KMEANS 0.51 77.44 73.59 100.0 76.67 77.18 73.33 73.33 52.31 2.05 3.33 2.82
11 KMEANSNF 0.51 77.18 75.9 100.0 76.92 50.26 76.41 76.92 43.08 5.9 4.87 3.85
12 LAVAMD 0.0 0.51 100.0 100.0 34.36 77.18 29.74 29.74 43.33 3.85 0.77 2.56
13 LEUKOCYTE 0.51 1.54 77.69 100.0 76.92 76.92 3.08 3.08 39.49 7.44 6.15 3.85
14 LUD 0.51 76.92 100.0 100.0 100.0 100.0 0.77 76.67 45.13 26.15 100.0 3.08
15 NW 0.51 0.26 0.26 100.0 30.51 77.44 66.67 66.67 40.0 2.56 1.79 2.56
16 SHA 0.51 76.92 76.92 100.0 42.56 84.62 76.92 76.92 41.54 2.31 2.82 2.82
17 SRAD 0.51 77.18 76.92 100.0 76.92 54.1 1.79 76.67 45.38 5.38 6.41 6.15
18 STREAM 0.0 0.0 0.0 100.0 76.92 76.92 6.67 10.51 38.46 12.56 9.49 8.97
19 STREAM_threads 0.0 1.03 100.0 100.0 100.0 54.62 83.33 76.67 42.56 11.54 100.0 6.41
20 X264_ducks 0.51 76.92 27.44 100.0 76.92 76.92 1.28 1.28 53.59 3.33 2.82 3.33
21 X264_native 0.51 76.92 70.26 100.0 76.92 76.92 13.85 13.85 45.38 2.56 3.59 3.33
22 AVERAGE 0.4 55.15 63.35 100.0 58.32 73.53 39.94 46.87 44.46 5.82 13.49 4.11
