Number Benchmark min Avg max
1 OPTIMAL 0.0 0.0 0.0
2 RACE 2.20381234796 6.53074896701 3.57599062585
3 CONTROL 11.5364358503 29.7738301361 6.38635557823
4 ONLINE 2.24034792381 19.3328255429 2.54126664762
5 OFFLINE 3.26307512245 19.3022898844 3.78545702041
6 NUCLEAR 7.36600526531 39.5465324558 8.80953897279
7 HBM 6.42007470748 17.8560154218 8.73920743537
8 ADAPT-CONTROL 11.6579465986 34.8207137415 7.04002435374
9 CALOREE-NP 5.56622953585 11.3910550692 3.35887397844
10 ONLINE-ADAPT 4.96914375782 22.8593635673 6.66331068503
11 NUCLEAR-ADAPT 6.00777826531 25.5257163605 5.87762316327
12 HBM-ADAPT 1.07892017007 11.069073551 2.15662311565
