Number Benchmark min Avg max
1 OPTIMAL 0.0 0.0 0.0
2 RACE 11.4979865986 60.5067356463 5.91698292517
3 CONTROL 37.5357480068 45.5435237211 40.2776619932
4 ONLINE 8.61585644898 61.3758297823 6.05857964626
5 OFFLINE 0.0 100.0 0.0
6 NUCLEAR 34.5814342857 49.0809504762 21.1037052857
7 HBM 18.1882605442 66.9540653061 14.3190234082
8 ADAPT-CONTROL 36.6402838776 50.3817843537 36.1974204082
9 CALOREE-NP 7.63432040816 46.9054537415 12.1032795918
10 ONLINE-ADAPT 27.5843504082 38.7699676463 24.281560068
11 NUCLEAR-ADAPT 27.9050396122 36.5444953265 30.8510322925
12 HBM-ADAPT 16.6944358367 20.3776214082 33.3055695442
