Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
BACKPROP 0 22.2718 0 29.1715 28.4361 15.1514 27.0754 27.0724 15.2222 11.0715 15.4921 1.73429
BFS 0 4.84334 0 21.3677 21.3767 21.3677 21.3503 21.3503 8.01123 0.44295 15.9109 2.51906
BLACKSCHOLES_10M 0 0 6.4856 0 6.59883 6.59883 0 0 0 0.380714 0.88152 0
BODYTRACK 0 0 7.97964 0 19.3941 19.3947 0 0 0 13.4023 4.31985 3.90323
FACESIM 0 0 27.524 8.13278 40.6872 8.02259 4.07564 4.11425 0 33.3965 21.3452 0
FERRET 0 4.76741 23.7667 4.60742 23.7667 23.7667 3.39952 3.4004 2.70529 18.6118 10.0709 0
HEARTWALL 0 3.40167 23.6836 3.23704 23.7594 23.7594 1.84776 1.84873 0 18.4471 13.8996 0.339519
HOTSPOT 0 8.70265 0 11.6214 12.2259 11.6214 11.6681 11.6681 10.2352 2.00549 4.50263 1.05876
JACOBI 0 0 0 39.5192 63.9833 31.99 32.0987 32.7422 0 49.9513 0 0
KMEANS 0 0 16.5266 0 16.5266 16.5266 0 0 2.22006 10.4462 0 0
KMEANSNF 0 0 48.6831 30.6626 48.6831 48.6831 30.6942 30.7661 0 43.0947 40.4718 0
LAVAMD 0 16.0598 0 15.9205 37.4776 7.80852 14.3517 14.3492 0 23.1652 33.8502 8.09625
LEUKOCYTE 0 0 55.551 57.5316 64.3062 57.5388 55.7109 55.7155 19.1375 52.1033 29.6881 0.938747
LUD 0 0.499403 88.623 9.67325 88.6336 88.6336 7.1263 90.3842 0 0 0 7.74163
NW 0 13.4899 8.73742 13.4115 45.7286 13.4115 12.5965 12.6056 6.20903 0 41.9232 0.674423
SHA 0 10.3805 31.4285 1.19707 31.4615 31.4619 1.03951 1.03765 1.1346 27.0752 18.2889 18.2501
SRAD 0 16.7754 11.6528 30.4939 68.37 68.3744 27.8908 47.3641 12.417 21.9627 26.753 28.8198
STREAM 0 2.09419 0 50.7142 12.6843 12.6856 46.5454 46.8825 21.7607 15.8614 12.0958 6.59591
STREAM_threads 0 0 30.2498 72.9751 100 24.5319 72.9654 72.9654 19.7155 10.092 100 13.429
X264_ducks 0 0 6.83819 0 6.83819 6.79722 0 0 0 0 0 0
X264_native 0 0 21.4657 4.28943 21.4657 21.4657 2.68384 2.68673 1.10937 16.1535 0 0
AVERAGE 0 4.91838 19.4855 19.2632 37.2573 26.6472 17.7676 22.7121 5.70846 17.5078 18.5473 4.48099
