Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
BACKPROP 0 0 100 100 0 0 1.02564 1.02564 40.5128 6.92308 6.66667 6.15385
BFS 0.512821 76.9231 0 100 0 12.8205 12.0513 12.0513 41.2821 6.41026 6.92308 7.4359
BLACKSCHOLES_10M 0 0 76.9231 100 33.8462 76.9231 0.769231 0.769231 46.1538 3.58974 1.53846 1.79487
BODYTRACK 0.512821 77.1795 76.9231 100 22.5641 76.9231 3.07692 3.07692 39.2308 2.05128 3.07692 1.28205
FACESIM 0.512821 76.9231 76.9231 100 21.7949 76.9231 0.769231 0.769231 43.5897 3.84615 3.58974 3.07692
FERRET 0.512821 76.9231 71.0256 100 46.1538 76.9231 1.79487 1.79487 43.3333 2.05128 1.53846 3.07692
HEARTWALL 0.512821 76.9231 76.9231 100 32.3077 76.9231 0.512821 0.512821 42.0513 1.53846 2.30769 2.30769
HOTSPOT 0.512821 0.25641 0 100 24.359 100 47.1795 47.1795 40.7692 4.61538 5.38462 5.89744
JACOBI 0.512821 77.1795 100 100 76.1538 76.1538 6.15385 3.58974 40.7692 5.38462 5.38462 3.07692
KMEANS 0.512821 76.9231 64.359 100 48.2051 76.9231 4.10256 4.10256 41.7949 1.79487 2.05128 2.30769
KMEANSNF 0.512821 76.9231 76.9231 100 76.9231 45.8974 4.61538 4.87179 38.7179 5.38462 3.33333 3.07692
LAVAMD 0 0.25641 98.9744 100 0 77.9487 0.769231 0.769231 41.2821 8.20513 5.12821 5.12821
LEUKOCYTE 0.512821 77.1795 77.1795 100 76.9231 76.9231 0.769231 0.512821 43.0769 6.92308 6.15385 4.87179
LUD 0.512821 76.9231 100 100 100 23.3333 0.769231 0.769231 44.1026 6.92308 94.359 4.61538
NW 0.512821 76.9231 1.28205 100 0 0 2.5641 2.5641 42.3077 1.79487 3.58974 2.30769
SHA 0.512821 76.9231 0 100 22.5641 80.2564 13.8462 13.8462 38.9744 3.33333 2.82051 3.07692
SRAD 0.512821 76.9231 14.8718 100 0.512821 0.512821 1.28205 1.28205 40.2564 4.87179 2.82051 5.38462
STREAM 0 0.25641 0 100 76.9231 0 9.23077 11.7949 38.9744 11.7949 8.97436 9.48718
STREAM_threads 0 0 100 100 100 0 12.0513 4.35897 39.2308 11.0256 100 7.94872
X264_ducks 0.512821 76.9231 33.8462 100 62.8205 76.9231 0.769231 0.769231 49.7436 1.79487 3.58974 3.07692
X264_native 0.512821 76.9231 61.5385 100 41.2821 76.9231 1.28205 1.28205 42.5641 2.30769 2.82051 2.5641
AVERAGE 0.390721 55.0183 57.5092 100 41.1111 52.8205 5.9707 5.6044 41.8437 4.884 12.9548 4.18803
