ID	Application	STDEV/MEAN
1	blackscholes	0.1068894921
2	bodytrack	0.1885118248
3	facesim	0.1069093187
4	ferret	0.3638311743
5	fluidanimate	0.1706261203
6	freqmine	2.8272221821
7	raytrace	0.0383621281
8	swaptions	0.3485493347
9	vips	0.0469668086
10	x264	0.2377747288
11	canneal	0.1381008436
12	dedup	0.2478894089
13	streamcluster	0.6453377388
14	stream	0.1049741475
15	swish	0.0560567962
16	HOP	0.2342110046
17	KMeans	0.102798722
18	Kmeans-Fuzzy	0.6115338854
19	ScalParC	0.031442728
20	SVM-RFE	0.6111969531
