Number	Benchmark	avg - min	Avg	max - avg
1	RACE	0	0	0
2	CONTROL	19.63640844	58.38846082	23.58198204
3	ONLINE	3.969035776	28.22190963	6.014539939
4	OFFLINE	21.8789583	44.12854401	17.0701417
5	NUCLEAR	6.460239	11.35350676	11.71710133
6	HBM	6.152948218	16.95754117	3.83063502
7	CALOREE-NP	1.118935374	45.05981633	1.820312245
8	ADAPT-CONTROL	2.380953878	14.2364515	4.203614218
9	ONLINE-ADAPT	4.771286061	17.61201025	4.768936844
10	NUCLEAR-ADAPT	0.6849635374	10.98052973	0.5301417007
11	HBM-ADAPT	0.6873095238	5.498475714	0.5934785714
