Tag	Perf_Norm	Window_Power
50	1.8221068303	140.867177
51	1.7695429089	141.631995
52	1.7635483638	142.085906
53	1.7525088293	142.455212
54	1.7576938013	142.926583
55	1.7613559074	143.160786
56	1.7616367804	143.261248
57	1.7199491477	143.568133
58	1.7192558907	143.763559
59	1.6900090982	144.594027
60	1.6914655699	145.096551
61	1.6931503034	145.62553
62	1.6943444254	145.946322
63	1.6709818794	146.421546
64	1.6555217305	146.827851
65	1.6590611669	147.021752
66	1.6322010382	147.443039
67	1.6362388182	147.652702
68	1.6197794944	148.062466
69	1.6160453799	148.188445
70	1.6201305268	148.495319
71	1.6241910993	148.642262
72	1.6065829025	148.799205
73	1.6006245297	149.030719
74	1.6041271551	149.092613
75	1.5898663051	149.212519
76	1.585793832	149.317003
77	1.5881662421	149.422259
78	1.5932221908	149.505387
79	1.5795493419	149.570507
80	1.5781151921	149.700179
81	1.5820505737	149.809667
82	1.5632954538	149.986188
83	1.5677569804	150.117234
84	1.5549708901	150.22315
85	1.5553871065	150.326938
86	1.5592912575	150.438062
87	1.5636754979	150.573705
88	1.5687006867	150.539144
89	1.5416421148	150.49687
90	1.5367674981	150.573985
91	1.5321887477	150.697596
92	1.5310527166	150.775675
93	1.5303975816	150.865049
94	1.5326704843	150.94468
95	1.5227185719	151.034077
96	1.5262208948	151.196268
97	1.5253596855	151.262574
98	1.5293814972	151.287047
99	1.5141216069	151.382106
100	1.517393987	151.475116
101	1.5082478825	150.963869
102	1.4912942492	150.485417
103	1.4681226498	149.766514
104	1.4570295292	149.51117
105	1.4325527362	148.719355
106	1.4251190995	148.575812
107	1.4032831848	147.852943
108	1.395959107	147.530661
109	1.3769172984	146.76281
110	1.3637763432	146.210437
111	1.3390646322	145.245641
112	1.3278446061	144.845623
113	1.314363914	144.325797
114	1.3080649974	143.935618
115	1.2943702973	143.33423
116	1.2868351026	142.957523
117	1.2584107586	142.068706
118	1.2514063482	141.668006
119	1.2260954415	140.605553
120	1.2214144944	140.326402
121	1.2030106758	139.329706
122	1.1980348709	138.984819
123	1.1941432591	138.630985
124	1.1590909183	137.670968
125	1.1571973537	137.426562
126	1.1358119115	136.508382
127	1.1271794801	135.975998
128	1.0635096971	133.929605
129	1.0603836869	133.696367
130	1.0591251542	133.581356
131	1.0568907097	133.445397
132	1.0548803585	133.086952
133	1.0526524695	132.748483
134	1.051614164	132.440562
135	1.0495384943	132.109146
136	1.0497027823	131.870152
137	1.0519828119	131.753976
138	1.092238816	131.037328
139	1.0884915908	130.66983
140	1.0854127458	130.154291
141	1.0823685266	129.551359
142	1.0818712587	129.18675
143	1.0746140123	128.696414
144	1.0654031272	127.905862
145	1.068593481	127.408221
146	1.0448725405	126.303285
147	1.0371006797	125.674841
148	1.0358120594	125.287053
149	1.0340223725	125.027248
150	1.0307995443	124.67105
151	1.0373641052	124.061528
152	1.0211200669	123.326485
153	1.0134829781	122.724708
154	0.987237946	121.750587
155	0.9851877583	121.407329
156	0.9841547979	121.119128
157	0.9908410873	120.663266
158	0.9909380397	120.399959
159	0.9587787408	118.974324
160	0.9522344848	118.432797
161	0.9517727841	118.017154
162	0.9320385924	117.42035
163	0.932178844	116.787662
164	0.9321012888	116.235852
165	0.9254019559	115.872373
166	0.9272390097	115.260365
167	0.9246340684	114.928034
168	0.9260295919	114.327903
169	0.9191101326	113.846864
170	0.9178084352	113.521001
171	0.9138216191	113.200255
172	0.9130715824	112.669814
173	0.9131517261	112.26016
174	0.9036716669	111.822059
175	0.9007571098	111.284298
176	0.9018560274	110.941576
177	0.8973811546	110.664282
178	0.8918699598	110.417326
179	0.8877583224	109.885013
180	0.8744823264	109.442794
181	0.8705119492	109.144486
182	0.872826134	108.621592
183	0.8694265458	108.337962
184	0.8709308886	107.876072
185	0.8678274021	107.51532
186	0.8582477346	107.172668
187	0.8563446228	106.903223
188	0.8420950683	106.57238
189	0.8474821815	105.945412
190	0.846219144	105.577923
191	0.8471657077	105.201917
192	0.8325720796	104.813581
193	0.830003277	104.494676
194	0.8259805912	104.228261
195	0.8280245261	103.750467
196	0.8247362786	103.506239
197	0.8242210927	103.193998
198	0.8221948069	102.990827
199	0.8263469867	102.476485
200	0.8189858627	102.204984
201	0.817859547	102.255243
202	0.8205344123	102.440774
203	0.8221702662	102.685781
204	0.8221148985	102.846532
205	0.8267866344	103.007216
206	0.8245860091	103.131617
207	0.829867194	103.219797
208	0.830090077	103.394156
209	0.8258126389	103.829049
210	0.8291161151	103.953298
211	0.8352331955	104.168246
212	0.8181763905	104.600763
213	0.8186785329	104.77884
214	0.8194312926	104.918341
215	0.8232860933	105.086955
216	0.8251638577	105.198112
217	0.8337154057	105.260369
218	0.8277593861	105.376352
219	0.8345732869	105.676189
220	0.8299871407	105.784786
221	0.8357909746	106.08068
222	0.8366856331	106.236329
223	0.8282003113	106.552268
224	0.8383371527	106.707045
225	0.8394728477	106.750995
226	0.8468777415	107.097797
227	0.8448991923	107.401036
228	0.8720678274	108.100025
229	0.8743302415	108.230013
230	0.8753739594	108.311443
231	0.8759994775	108.400738
232	0.8689847802	108.583291
233	0.8702591467	108.703277
234	0.8707686849	108.804714
235	0.8686060471	108.949073
236	0.8618281841	109.174753
237	0.8600037033	109.255675
238	0.8599349222	109.251868
239	0.8550965114	109.322767
240	0.8487819963	109.424554
241	0.8411103152	109.746685
242	0.8405145485	109.866167
243	0.8393150478	110.102772
244	0.8456458673	110.355627
245	0.8463054061	110.483279
246	0.8598479541	110.940271
247	0.8638655637	111.185604
248	0.8561489362	111.414817
249	0.8575840609	111.477647
250	0.8565902984	111.643131
251	0.8576485053	111.742321
252	0.8702607268	111.981198
253	0.8610316546	112.5129
254	0.8749184779	113.087465
255	0.8754584398	113.266844
256	0.8667452259	113.623065
257	0.8598110759	113.86741
258	0.8555535729	114.037408
259	0.8814750379	114.784972
260	0.8824508151	115.112461
261	0.8778552897	115.332988
262	0.8918615554	115.727792
263	0.889430752	116.046649
264	0.887996972	116.314211
265	0.8908466812	116.56195
266	0.8916896363	116.799986
267	0.8837990726	117.145888
268	0.8824352839	117.386974
269	0.8823935312	117.824979
270	0.8741682395	118.046362
271	0.8741503215	118.316509
272	0.8760722926	118.598338
273	0.8769037169	118.757787
274	0.8846011826	119.132412
275	0.884287331	119.462172
276	0.8793645743	119.620712
277	0.8799841756	119.844102
278	0.883106656	120.060474
279	0.8831694532	120.439869
280	0.8962525865	120.887659
281	0.8922866132	121.116082
282	0.8969693757	121.221115
283	0.9018516907	121.384411
284	0.9062845082	121.51396
285	0.9121093866	121.758258
286	0.9244993973	122.134752
287	0.9278100676	122.288515
288	0.9459809516	122.874741
289	0.9505184199	123.061233
290	0.9563990694	123.26247
291	0.9593329901	123.350694
292	0.9820442671	123.962065
293	0.9889729375	124.214006
294	0.9967092312	124.432694
295	1.0007046869	124.640011
296	1.0068559561	124.780738
297	1.0107217833	124.982528
298	1.014655753	125.138565
299	1.0178989196	125.262298
300	1.0233470483	125.669958
301	1.029753843	125.703694
302	1.0273242835	125.616561
303	1.0297959992	125.591975
304	1.0321126716	125.518189
305	1.0223396372	125.339488
