Tag	Perf_Norm	Window_Power
50	2.1078763637	173.264426
51	2.0616003661	173.581687
52	2.0632279165	173.993305
53	2.0591481484	174.210494
54	2.0551366236	174.093624
55	2.0455583681	174.012912
56	2.0246600412	173.99149
57	1.9530790871	173.559308
58	1.93664975	173.571259
59	1.9263358796	173.652244
60	1.9125886019	173.960259
61	1.9166221125	174.14309
62	1.9050812424	174.433324
63	1.8949516623	174.761963
64	1.9002812562	174.845013
65	1.8903465559	175.21569
66	1.8802297168	175.503118
67	1.8680936179	175.717671
68	1.8635310038	175.928623
69	1.8520214987	176.14602
70	1.8139388898	176.310442
71	1.808709442	176.384047
72	1.8147723648	176.632793
73	1.8213322865	176.48609
74	1.7976145733	176.403337
75	1.8039381314	176.547071
76	1.810244343	176.615948
77	1.8165543533	176.577455
78	1.8233950136	176.619806
79	1.7571849691	176.129974
80	1.7443045485	176.248307
81	1.7492795129	176.401902
82	1.7324996813	176.562984
83	1.7304268355	176.756705
84	1.7358660892	176.805806
85	1.7280536186	176.895195
86	1.7245139805	176.868618
87	1.7253006601	176.984624
88	1.7309235318	177.067501
89	1.7367704968	177.098414
90	1.6950934535	176.61629
91	1.7004545133	176.62349
92	1.7061490236	176.736507
93	1.7121973564	176.683419
94	1.68619642	176.529668
95	1.6873771958	176.593384
96	1.6930389628	176.576125
97	1.6936505969	176.519248
98	1.6701267885	176.584716
99	1.6682940714	176.572928
100	1.6717771987	176.675563
101	1.6620720713	175.465472
102	1.6318993225	174.030732
103	1.6189806117	173.373805
104	1.5956251254	172.138041
105	1.583964275	171.449604
106	1.533162676	168.783012
107	1.5131684541	167.61378
108	1.5023321365	166.775162
109	1.4565973109	164.257216
110	1.4404746313	163.190383
111	1.432294992	162.504743
112	1.4159373607	161.369432
113	1.4076338078	160.640053
114	1.3914090323	159.350162
115	1.383639054	158.61401
116	1.3662337379	157.386766
117	1.3219832865	154.74262
118	1.3096958087	153.864458
119	1.3044412487	153.12052
120	1.2936301441	152.312797
121	1.2868803852	151.686403
122	1.2770590089	150.838763
123	1.269471035	150.185438
124	1.2556802229	149.180713
125	1.2355284365	147.863689
126	1.2222314969	146.932002
127	1.2155638315	146.256965
128	1.1966360529	144.970763
129	1.1867787397	144.179692
130	1.1808953336	143.513825
131	1.1609677413	142.173562
132	1.081920172	138.147856
133	1.0773147966	137.61895
134	1.0672284821	136.919347
135	1.0627831926	136.38413
136	1.0513796157	135.602158
137	1.0357199142	134.544495
138	1.0379072944	133.737708
139	1.0379049412	133.126221
140	1.0555531426	131.282425
141	1.0502567962	130.741261
142	1.0496463051	129.994058
143	1.0497683361	129.271245
144	1.0411044725	128.138951
145	1.0382322397	127.640968
146	1.0389496676	126.713063
147	1.0233139352	125.76514
148	1.0212374251	125.174755
149	1.0142168448	124.591976
150	1.0077601284	124.088015
151	1.0101396989	123.335097
152	1.0003822965	122.68446
153	0.992950139	122.048479
154	0.9879446836	121.558568
155	0.9798867055	120.887991
156	0.9800818878	120.311986
157	0.9875046325	119.444547
158	0.9839471436	118.710619
159	0.9740195365	117.797154
160	0.9528974189	116.469658
161	0.930582625	115.513702
162	0.9281535025	114.847599
163	0.9264159561	114.234575
164	0.9150971958	113.624683
165	0.9096764989	112.903979
166	0.9055698706	112.309633
167	0.9035504091	111.712214
168	0.8939567904	111.044846
169	0.8888631231	110.360694
170	0.8939922903	109.465148
171	0.8859703164	108.907149
172	0.8834318367	108.5518
173	0.8785916441	108.27702
174	0.8778143774	107.596806
175	0.871499358	107.192251
176	0.8695040674	106.893946
177	0.8671758642	106.603304
178	0.8651117925	106.260912
179	0.8648222126	104.843495
180	0.8643011437	104.145888
181	0.8553277988	103.674606
182	0.8562725135	102.88389
183	0.8438276057	102.254865
184	0.8413291305	101.956526
185	0.8416529665	101.397637
186	0.8351482444	100.897781
187	0.8299816947	100.431601
188	0.8261043031	100.099295
189	0.8235971883	99.800998
190	0.8259707413	98.769781
191	0.8203538199	98.429557
192	0.8096203377	98.017793
193	0.788977301	97.681347
194	0.7936299424	96.867121
195	0.7882069931	96.558171
196	0.7865274366	96.34338
197	0.7844095771	96.071708
198	0.7888847525	95.207391
199	0.7887642679	94.791995
200	0.7734165018	94.329146
201	0.7731370071	94.401148
